,Name,Value,DOB,Age,Height (m),Nationality,Position,Team
21,Adam Forshaw,250000,"Oct 8, 1991",34.0,1.75,England,Central Midfield,Blackburn
48,Aynsley Pears,1400000,"Apr 23, 1998",27.0,1.85,England,Goalkeeper,Blackburn
197,Sean McLoughlin,800000,"Nov 13, 1996",29.0,1.91,Ireland,Centre-Back,Blackburn
214,Todd Cantwell,3500000,"Feb 27, 1998",27.0,1.8,England,Attacking Midfield,Blackburn
220,Yuri Ribeiro,1200000,"Jan 24, 1997",28.0,1.78,Portugal,Left-Back,Blackburn
288,Balázs Tóth,700000,"Sep 4, 1997",28.0,1.89,Hungary,Goalkeeper,Blackburn
314,Makhtar Gueye,3000000,"Dec 4, 1997",27.0,1.95,Senegal,Centre-Forward,Blackburn
341,Taylor Gardner-Hickman,2000000,"Dec 30, 2001",23.0,1.88,England,Right-Back,Blackburn
395,Ryan Hedges,900000,"Jul 8, 1995",30.0,1.85,Wales,Right Winger,Blackburn
409,Balázs Tóth,700000,"Sep 4, 1997",28.0,1.89,Hungary,Goalkeeper,Blackburn
457,Harry Pickering,2600000,"Dec 29, 1998",26.0,1.73,England,Left-Back,Blackburn
517,Aynsley Pears,1400000,"Apr 23, 1998",27.0,1.85,England,Goalkeeper,Blackburn
518,Yuki Ohashi,1800000,"Jul 27, 1996",29.0,1.81,Japan,Centre-Forward,Blackburn
534,Kristi Montgomery,100000,"May 31, 2004",21.0,1.84,Scotland,Central Midfield,Blackburn
549,Kristi Montgomery,100000,"May 31, 2004",21.0,1.84,Scotland,Central Midfield,Blackburn
570,Hayden Carter,2500000,"Dec 17, 1999",25.0,1.88,England,Centre-Back,Blackburn
872,Scott Wharton,2000000,"Oct 3, 1997",28.0,1.82,England,Centre-Back,Blackburn
890,Taylor Gardner-Hickman,2000000,"Dec 30, 2001",23.0,1.88,England,Right-Back,Blackburn
892,Augustus Kargbo,1000000,"Aug 24, 1999",26.0,1.72,Sierra Leone,Second Striker,Blackburn
940,Augustus Kargbo,1000000,"Aug 24, 1999",26.0,1.72,Sierra Leone,Second Striker,Blackburn
1010,Adam Forshaw,250000,"Oct 8, 1991",34.0,1.75,England,Central Midfield,Blackburn
1031,Harry Pickering,2600000,"Dec 29, 1998",26.0,1.73,England,Left-Back,Blackburn
1217,Sondre Tronstad,1500000,"Aug 26, 1995",30.0,1.74,Norway,Central Midfield,Blackburn
1291,Scott Wharton,2000000,"Oct 3, 1997",28.0,1.82,England,Centre-Back,Blackburn
1332,Ryan Hedges,900000,"Jul 8, 1995",30.0,1.85,Wales,Right Winger,Blackburn
1373,Hayden Carter,2500000,"Dec 17, 1999",25.0,1.88,England,Centre-Back,Blackburn
1426,Sondre Tronstad,1500000,"Aug 26, 1995",30.0,1.74,Norway,Central Midfield,Blackburn
1512,Sean McLoughlin,800000,"Nov 13, 1996",29.0,1.91,Ireland,Centre-Back,Blackburn
1537,Makhtar Gueye,3000000,"Dec 4, 1997",27.0,1.95,Senegal,Centre-Forward,Blackburn
1580,Todd Cantwell,3500000,"Feb 27, 1998",27.0,1.8,England,Attacking Midfield,Blackburn
1729,Yuri Ribeiro,1200000,"Jan 24, 1997",28.0,1.78,Portugal,Left-Back,Blackburn
1761,Yuki Ohashi,1800000,"Jul 27, 1996",29.0,1.81,Japan,Centre-Forward,Blackburn
