,Name,ID,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Market value history,Transfer history
0,Moussa Sissoko,46001,€400k,"Oct 6, 2025","Aug 16, 1989",36,1.87,France,"['Mali', 'France']",Central Midfield,"                    0
0  Attacking Midfield
1      Right Midfield",Watford,,,"Jul 10, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
1,Jaidon Anthony,684210,€14.00m,"Oct 17, 2025","Dec 1, 1999",25,1.83,England,[],Left Winger,,Burnley,,,"Jul 1, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
2,Toby Steward,932854,€100k,"May 27, 2025","Feb 12, 2005",20,1.93,England,['England'],Goalkeeper,,St. Johnstone,,,"Jul 8, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
3,Connal Trueman,344586,€125k,"Jun 30, 2025","Mar 26, 1996",29,1.86,England,['England'],Goalkeeper,,MK Dons,,,"Feb 3, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
4,Alex Cairns,194386,€100k,"May 27, 2025","Jan 4, 1993",32,1.83,England,['England'],Goalkeeper,,Leeds,,,"Jul 8, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
5,Andros Townsend,61842,€550k,"Jun 18, 2025","Jul 16, 1991",34,1.81,England,[],Right Winger,,Kanchanaburi FC,,,"Aug 3, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
6,Ben Whiteman,347389,€2.50m,"May 27, 2025","Jun 17, 1996",29,1.85,England,['England'],Central Midfield,"                    0
0  Attacking Midfield
1  Defensive Midfield",Preston,,,"Jan 14, 2021",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
7,Rhys Norrington-Davies,543164,€2.20m,"May 27, 2025","Apr 22, 1999",26,1.81,Wales,"['Saudi Arabia', 'Wales']",Left-Back,"               0
0  Left Midfield
1    Centre-Back",QPR,,,"Aug 25, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
8,Joël Piroe,369962,€18.00m,"May 27, 2025","Aug 2, 1999",26,1.85,Netherlands,[],Centre-Forward,,Leeds,,,"Aug 24, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
9,Lewis Koumas,922462,€2.00m,"May 27, 2025","Sep 19, 2005",20,1.82,Wales,[],Left Winger,,Birmingham,,,"Aug 22, 2025","May 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
10,George Evans,967307,€350k,"May 27, 2025","May 16, 2005",20,,England,[],Goalkeeper,,Hartlepool,,,"Oct 3, 2025","Jan 4, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
11,Harry Souttar,298091,€6.00m,"May 30, 2025","Oct 22, 1998",27,1.98,Australia,[],Centre-Back,,Leicester,,,"Jan 31, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
